city_name	id	he	en	ru	ar	es	area	countdown	lat	lng
אבו סנאן	1470	אבו סנאן	Abu Snan	Абу Снан	ابو سنان	Abu Snan	1	30	32.958	35.172
אבו קרינאת	92	אבו קרינאת והפזורה	Abu Qrenat and the Bedouin Diaspora	Абу Кренат и диаспора	أبو كرينات وضواحيها	Abu Qrenat y la Diáspora Beduina	2	90	31.1031	34.952
אבו-גוש	511	אבו-גוש	Abu Ghosh	Абу-Гош	ابو غوش	Abu Ghosh	3	90	31.8063	35.1092
אבו תלול	103	אבו-תלול והפזורה	Abu Talul and the Bedouin Diaspora	Абу Талуль и диаспора	أبو تلول وضواحيها	Abu Talul y la Diáspora Beduina	2	90	31.1907	34.9161
אבטליון	1363	אבטליון	Avtalion	Авталион	افتليون	Avtalion	16	60	32.8358	35.3504
אביאל	1065	אביאל	Aviel	Авиэль	أفيئيل	Aviel	5	90	32.5313	34.9935
אביבים	1604	אביבים	Avivim	Авивим	أفيفيم	Avivim	6	0	33.0894	35.4703
אביגדור	373	אביגדור	Avigdor	Авигдор	افيغدور	Avigdor	7	45	31.7119	34.7404
אביחיל	940	אביחיל	Avihail	Авихайль	افيحايل	Avijail	9	90	32.3507	34.8712
אביעזר	359	אביעזר	Aviezer	Авиэзер	افيعزير	Aviezer	3	90	31.682	35.0188
אבירים	1557	אבירים	Abirim	Абирим	أفيريم	Abirim	6	0	33.0381	35.286
אבן יהודה	891	אבן יהודה	Even Yehuda	Эвен Иеуда	ايفين يهودا	Even Yehuda	9	90	32.2766	34.8851
אבן מנחם	1588	אבן מנחם	Even Menachem	Эвен Менахем	إيفين مناحيم	Even Menachem	6	0	33.0751	35.2952
אבן ספיר	443	אבן ספיר	Even Sapir	Эвен Сапир	ايفين سفير	Even Sapir	32	90	31.7625	35.135
אבן שמואל	278	אבן שמואל	Even Shmuel	Эвен Шмуэль	ايفين شموئيل	Even Shmuel	7	30	31.5764	34.763
אבני איתן	1359	אבני איתן	Avnei Eitan	Авней Эйтан	أفني ايتان	Avnei Eitan	10	0	32.8248	35.7658
אבני חפץ	911	אבני חפץ	Avnei Hefetz	Авней Хефец	أفني حيفتس	Avnei jefetz	11	90	32.2846	35.0746
אבנת	372	אבנת	Avnat	Авнат	ايفنات	Avnat	12	90	31.679	35.4369
אבשלום	109	אבשלום	Avshalom	Авшалом	افيشالوم	Avshalom	13	15	31.1954	34.3312
אדורה	271	אדורה	Adora	Адора	ادورا	Adora	14	90	31.5522	35.0176
אדוריים	1883	אדוריים	Adorayim	Адораим	أدورايم	Adorayim	14	90	31.4827	35.0436
אדמית	1592	אדמית	Idmit	Идмит	أدميت	Idmit	6	0	33.0788	35.2095
אדרת	339	אדרת	Aderet	Адерет	ادرت	Aderet	3	90	31.6597	34.9944
אודים	889	אודים	Udim	Удим	اوديم	Udim	9	90	32.2669	34.847
אודם	1639	אודם	Odem	Одем	اودم	Odem	28	0	33.1934	35.7496
בית ירח	1239	בית ירח	Beit Yerah	Бейт Йерах	بيت يرح	Beit Yeraj	4	60	32.7144	35.574
אום אל פחם	1047	אום אל פחם	umm al-Fahm	Ум аль Фахм	ام الفحم	umm al-Fajem	15	90	32.5171	35.1485
אום אל קוטוף	1015	אום אל קוטוף	Umm al-Qutuf	Ум аль Кутуф	ام القطف	Umm al-Qutuf	15	90	32.4681	35.0592
אום אל-גנם	1187	אום אל-גנם	Umm al-Ghanam	Ум аль Ганам	ام الغنم	Umm al-Ghanam	34	60	32.6867	35.3903
אום בטין	144	אום בטין והפזורה	Umm Batin and the Bedouin Diaspora	Ум Батин и диаспора	أم بطين وضواحيها	Umm Batin y la Diáspora Beduina	24	90	31.2694	34.8811
אופקים	155	אופקים	Ofakim	Офаким	أوفكيم	Ofakim	17	45	31.3113	34.6228
אור הגנוז	1538	אור הגנוז	Or HaGanuz	Ор ха-Гануз	أور هغنوز	Or HaGanuz	1	30	33.0052	35.4467
אור הנר	266	אור הנר	Or HaNer	Ор ха-Нер	أور هنير	Or HaNer	13	15	31.5562	34.6023
אור יהודה	716	אור יהודה	Or Yehuda	Ор Иеуда	أور يهودا	Or Yehuda	18	90	32.0297	34.8562
אור עקיבא	1044	אור עקיבא	Or Akiva	Ор Акива	أور عكيفا	Or Akiva	5	90	32.51	34.9204
אורה	429	אורה	Ora	Ора	أورة	Ora	32	90	31.7521	35.1502
אורון תעשייה ומסחר	1769	אורון תעשייה ומסחר	Oron Industry and Commerce	Орон Промышленность и Комм	أورون صناعة وتجارة	Oron Industry and Commerce	2	90	30.9115	35.0177
אורות	407	אורות	Orot	Орот	أوروت	Orot	7	45	31.74176	34.734758
אורטל	1606	אורטל	Ortal	Орталь	أورطال	Ortal	28	0	33.0862	35.7587
אורים	158	אורים	Urim	Урим	أوريم	Urim	17	30	31.3041	34.5249
אורנים	1216	אורנים	Oranim	Ораним	أورنيم	Oranim	34	60	32.7112	35.1096
אורנית	804	אורנית	Oranit	Оранит	أورنيت	Oranit	9	90	32.1319	34.9908
אושה	1319	אושה	Usha	Уша	أوشة	Usha	19	60	32.7965	35.1146
אזור	709	אזור	Azor	Азор	آزور	Azor	18	90	32.0296	34.7996
אזור תעשייה אכזיב מילואות	1562	אזור תעשייה אכזיב מילואות	Achziv Miluot Industrial Zone	Промзона Ахзив Милуот	المنطقة الصناعية أخزيف ميل	Area Industrial Achziv Miluot	6	0	33.0684	35.1102
אזור תעשייה אלון התבור	1141	אזור תעשייה אלון התבור	Alon HaTavor Industrial Zone	Промзона Алон ха-Тавор	المنطقة الصناعية ألون هتاف	Alon HaTavor Industrial Zone	34	60	32.6345	35.3603
אזור תעשייה אפק ולב הארץ	792	אזור תעשייה אפק ולב הארץ	"Afek and Lev Ha""aretz Industrial Zone"	Промзона Афек и Лев ха-Арец	المنطقة الصناعية أفيك وليف	"Area Industrial Afek and Lev Ha""aretz"	20	90	32.10799	34.953088
אזור תעשייה באר טוביה	384	אזור תעשייה באר טוביה	Be'er Tuvia Industrial Zone	Промзона Беэр Тувья	المنطقة الصناعية بئير طوبي	Be'er Tuvia Area Industrial	7	45	31.7249	34.751
אזור תעשייה בני יהודה	1343	אזור תעשייה בני יהודה	Bnei Yehuda Industrial Zone	Промзона Бней Йехуда	المنطقة الصناعية بني يهودا	Area Industrial Bnei Yehuda	10	0	32.8023	35.7156
אזור תעשייה בר-לב	1415	אזור תעשייה בר-לב	Bar Lev Industrial Zone	Промзона Бар-Лев	المنطقة الصناعية بار- ليف	Area industral Bar Lev	1	60	32.9063	35.1948
אזור תעשייה בראון	883	אזור תעשייה בראון	Bar On Industrial Zone	Промзона Бар Он	المنطقة الصناعية برأون	Area Industrial Bar On	11	90	32.2488	35.1681
אזור תעשייה ברוש	399	אזור תעשייה ברוש	Brosh Industrial Zone	Промзона Брош	المنطقة الصناعية بروش	Area Industrial Brosh	3	90	31.7331	34.9594
אזור תעשייה דימונה	87	אזור תעשייה דימונה	Dimona Industrial Zone	Промзона Димона	المنطقة الصناعية ديمونا	Area Industrial Dimona	2	90	31.0646	35.0188
אזור תעשייה הדרומי אשקלון	305	אזור תעשייה הדרומי אשקלון	Ashkelon Southern Industrial Zone	Южная промзона Ашкелона	المنطقة الصناعية الجنوبية	Ashkelon Area Industrial Del Sur	21	30	31.6361	34.5545
אזור תעשייה הר טוב - צרעה	441	אזור תעשייה הר טוב - צרעה	Har Tuv - Tzora Industrial Zone	Промзона Хар Тув - Цроа	المنطقة الصناعية - تسارعا	Area Industrial Har Tuv - Tzora	3	90	31.7728	34.9981
אזור תעשייה חבל מודיעין	704	אזור תעשייה חבל מודיעין	Hevel Modi'in Industrial Zone	Промзона Хевель Модиин	المنطقة الصناعية حيبيل مود	Hevel Modi'in Industrial Zone	20	90	32.0131	34.9595
אזור תעשייה חצור הגלילית	1507	אזור תעשייה חצור הגלילית	Hatzor HaGlilit Industrial Zone	Промзона Хацор ха-Глилит	المنطقة الصناعية حتسور هجل	Area Industrial Hatzor HaGlilit	1	30	32.9842	35.5521
אזור תעשייה טירה	1758	אזור תעשייה טירה	Tira Industrial Zone	Промзона Тира	المنطقة الصناعية طيره.	Tira Industrial Zone	9	90	32.2267	34.9791
אזור תעשייה יקנעם עילית	1150	אזור תעשייה יקנעם עילית	Yokneam Illit Industrial Zone	Промзона Йокнеам Илит	المنطقة الصناعية يوكنعام ع	Area Industrial Yokneam Illit	15	90	32.6639	35.105
אזור תעשייה כנות	483	אזור תעשייה כנות	Kannot Industrial Zone	Промзона Каннот	المنطقة الصناعية كنوت	Area Industrial Kannot	7	60	31.8013	34.7591
אזור תעשייה כרמיאל	1435	אזור תעשייה כרמיאל	Carmiel Industrial Zone	Промзона Кармиэль	المنطقة الصناعية كرميئيل	Area Industrial Carmiel	1	30	32.9263	35.3191
אזור תעשייה מבוא כרמל	1125	אזור תעשייה מבוא כרמל	Mevo Carmel Industrial Zone	Промзона Мево Кармель	المنطقة الصناعية مافو الكر	Mevo Carmel Area Industrial	15	90	32.6207	35.078
אזור תעשייה מבואות הגלבוע	1096	אזור תעשייה מבואות הגלבוע	Mevuot HaGilboa Industrial Zone	Промзона Мевуот ха-Гильбоа	المنطقة الصناعية مبؤوت هجل	Area Industrial Mevuot HaGilboa	34	60	32.5672	35.2676
אזור תעשייה מישור אדומים	478	אזור תעשייה מישור אדומים	Mishor Edomim Industrial Zone	Промзона Мишор Адумим	المنطقة الصناعية ميشور أدو	Mishor Edomim Industrial Zone	14	90	31.7925	35.335
אזור תעשייה מיתרים	199	אזור תעשייה מיתרים	Meitarim Industrial Zone	Промзона Мейтарим	المنطقة الصناعية ميتاريم	Area Industrial Meitarim	14	90	31.3726	35.0055
אזור תעשייה נ.ע.מ	207	אזור תעשייה נ.ע.מ	Noam Industrial Zone	Промзона Ноам	المنطقة الصناعية ن.ع.م	Noam Area Industrial	17	30	31.4138	34.6149
אזור תעשייה ניר עציון	1730	אזור תעשייה ניר עציון	Nir Etzion Industrial Zone	Промзона Нир Эцион	مجلس اقلمي نير عتسيون	Area Industrial Nir Etzion	22	60	32.7019	34.973
אזור תעשייה נשר - רמלה	1799	אזור תעשייה נשר - רמלה	Nesher Industrial Zone (Ramla)	Промзона Нешер (Рамла)	المنطقة الصناعية نيشر (الرم	Area Industrial Nesher (Ramla)	23	90	31.9179	34.892
אזור תעשייה עד הלום	425	אזור תעשייה עד הלום	Ad Halom Industrial Zone	Промзона Ад Халом	المنطقة الصناعية عاد هلوم	Area Industrial Ad Halom	7	45	31.7581	34.6559
אזור תעשייה עידן הנגב	196	אזור תעשייה עידן הנגב	Idan HaNegev Industrial Zone	Промзона Идан ха-Негев	المنطقة الصناعية عيدان الن	Area Industrial Idan HaNegev	24	45	31.3808	34.786
אזור תעשייה עמק חפר	972	אזור תעשייה עמק חפר	Emek Heffer Industrial Zone	Промзона Эмек Хефер	المنطقة الصناعية عيمك حيفر	Emek Heffer Area Industrial	9	90	32.4049	34.8967
אזור תעשייה צ.ח.ר	1496	אזור תעשייה צ.ח.ר	Tzahar Industrial Zone	Промзона Цахар	المنطقة الصناعية تساحار	Area Industrial Tzajar	1	30	32.9705521	35.5646455
אזור תעשייה צבאים	1079	אזור תעשייה צבאים	Zvaim Industrial Zone	Промзона Цваим	المنطقة الصناعية تسفئيم	Area Industrial Tzvaim	25	60	32.5425	35.5031
אזור תעשייה ציפורית	1278	אזור תעשייה ציפורית	Tziporit Industrial Zone	Промзона Ципорит	المنطقة الصناعية تسيبوريت	Tziporit Industrial Zone	34	60	32.7595	35.3161
אזור תעשייה צמח	1212	אזור תעשייה צמח	Tzemach Industrial Zone	Промзона Цемах	المنطقة الصناعية تسيمح	Area Industrial Tzemaj	4	30	32.7033	35.5869
אזור תעשייה צפוני אשקלון	333	אזור תעשייה צפוני אשקלון	Ashkelon Northern Industrial Zone	Северная промзона Ашкелона	المنطقة الصناعية الشمالية	Area Industrial Ashkelon Northern	21	30	31.6647	34.5981
אזור תעשייה קדמת גליל	1313	אזור תעשייה קדמת גליל	Kidmat Galil Industrial Zone	Промзона Кидмат Галиль	المنطقة الصناعية كيدمات جل	Kidmat Galil Area Industrial	4	60	32.7854	35.4631
אזור תעשייה קיסריה	1020	אזור תעשייה קיסריה	Caesarea Industrial Zone	Промзона Кейсария	المنطقة الصناعية قيساريا	Area Industrial Caesarea	5	90	32.4865	34.9464
אזור תעשייה קריית גת	284	אזור תעשייה קריית גת	Kiryat Gat - Industrial Zone	Кирьят Гат - Промзона	اكريات جات - لمنطقة الصناعي	Kiryat Gat - Industrial Zone	7	45	31.5962	34.7848
אזור תעשייה רגבים	1058	אזור תעשייה רגבים	Regavim Industrial Zone	Промзона Регавим	المنطقة الصناعية رجافيم	Area Industrial Regavim	5	90	32.5217	35.024
אזור תעשייה רותם	89	אזור תעשייה רותם	Rotem Industrial Zone	Промзона Ротем	المنطقة الصناعية روتم	Area Industrial Rotem	2	90	31.06	35.1949
אזור תעשייה רמת דלתון	1550	אזור תעשייה רמת דלתון	Ramat Dalton Industrial Zone	Промзона Рамат Дальтон	المنطقة الصناعية رمات دلتو	Ramat Dalton Area Industrial	6	0	33.0279	35.4768
אזור תעשייה שחורת	10	אזור תעשייה שחורת	Shchoret Industrial Zone	Промзона Шхорет	المنطقة الصناعية شحوروت	Area Industrial Shjoret	26	30	29.5979	34.9719
אזור תעשייה שער בנימין	584	אזור תעשייה שער בנימין	Sha'ar Binyamin Industrial Zone	Промзона Шаар Биньямин	المنطقة الصناعية شاعار بني	Area Industrial Sha'ar Binyamin	11	90	31.8654	35.2617
אזור תעשייה שער נעמן	1389	אזור תעשייה שער נעמן	Sha'ar Na'aman Industrial Zone	Промзона Шаар Нааман	المنطقة الصناعية شاعر نعما	Area Industrial Sha'ar Na'aman	1	60	32.8805	35.0976
אזור תעשייה תימורים	386	אזור תעשייה תימורים	Timorimg Industrial Zone	Промзона Тиморим	المنطقة الصناعية تيموريم	Area Industrial Timorimg	7	45	31.7242	34.7615
אזור תעשייה תרדיון	1386	אזור תעשייה תרדיון	Teradion Industrial Zone	Промзона Терадион	المنطقة الصناعية ترديون	Area Industrial Teradion	16	60	32.8677	35.2731
אחווה	419	אחווה	Achva	Ахва	أحفا	Ajva	7	45	31.7429	34.7678
אחוזם	264	אחוזם	Ahuzam	Ахузам	أحوزام	Ajuzam	7	30	31.5527	34.7701
אחוזת ברק	1147	אחוזת ברק	Ahuzat Barak	Ахузат Барак	أحوزات براك	Ajuzat Barak	34	60	32.6431	35.3389
אחיה	765	אחיה	Achita	Ахия	أحيه	Ajita	11	90	32.0605	35.3273
אחיהוד	1414	אחיהוד	Achihud	Ахихуд	أحيهود	Ajihud	1	60	32.9074	35.1717
אחיטוב	970	אחיטוב	Ahituv	Ахитув	أحيطوف	Ajitov	9	90	32.3877	34.9908
אחיסמך	1811	אחיסמך	Ahisemech	Ахисемех	أحيسيمخ	Ajisemej	23	90	31.9319	34.9086
אחיעזר	1849	אחיעזר	Achiezer	Ахиэзер	أحيعزر	Ajiezer	23	90	31.9817	34.8718
איבטין	1272	איבטין	Ibtin	Ибтин	ابطن	Ibtin	19	60	32.76	35.1146
אייל	864	אייל	Eyal	Эяль	أيال	Eyal	9	90	32.211823	34.979862
איילת השחר	1552	איילת השחר	Ayelet HaShachar	Айелет ха-Шахар	أييلت هشاحر	Ayelet HaShajar	1	30	33.0211	35.5767
