lat,lng,loc
32.958,35.172,אבו סנאן
31.1031,34.952,אבו קרינאת והפזורה
31.8063,35.1092,אבו-גוש
31.1907,34.9161,אבו-תלול והפזורה
32.8358,35.3504,אבטליון
32.5313,34.9935,אביאל
33.0894,35.4703,אביבים
31.7119,34.7404,אביגדור
32.3507,34.8712,אביחיל
31.682,35.0188,אביעזר
33.0381,35.286,אבירים
32.2766,34.8851,אבן יהודה
33.0751,35.2952,אבן מנחם
31.7625,35.135,אבן ספיר
31.5764,34.763,אבן שמואל
32.8248,35.7658,אבני איתן
32.2846,35.0746,אבני חפץ
31.679,35.4369,אבנת
31.1954,34.3312,אבשלום
31.5522,35.0176,אדורה
31.4827,35.0436,אדוריים
33.0788,35.2095,אדמית
31.6597,34.9944,אדרת
32.2669,34.847,אודים
33.1934,35.7496,אודם
32.7144,35.574,בית ירח
32.5171,35.1485,אום אל פחם
32.4681,35.0592,אום אל קוטוף
32.6867,35.3903,אום אל-גנם
31.2694,34.8811,אום בטין והפזורה
31.3113,34.6228,אופקים
33.0052,35.4467,אור הגנוז
31.5562,34.6023,אור הנר
32.0297,34.8562,אור יהודה
32.51,34.9204,אור עקיבא
31.7521,35.1502,אורה
30.9115,35.0177,אורון תעשייה ומסחר
31.74176,34.734758,אורות
33.0862,35.7587,אורטל
31.3041,34.5249,אורים
32.7112,35.1096,אורנים
32.1319,34.9908,אורנית
32.7965,35.1146,אושה
32.0296,34.7996,אזור
33.0684,35.1102,אזור תעשייה אכזיב מילואות
32.6345,35.3603,אזור תעשייה אלון התבור
32.10799,34.953088,אזור תעשייה אפק ולב הארץ
31.7249,34.751,אזור תעשייה באר טוביה
32.8023,35.7156,אזור תעשייה בני יהודה
32.9063,35.1948,אזור תעשייה בר-לב
32.2488,35.1681,אזור תעשייה בראון
31.7331,34.9594,אזור תעשייה ברוש
31.0646,35.0188,אזור תעשייה דימונה
31.6361,34.5545,אזור תעשייה הדרומי אשקלון
