name,lat,lng,loc
אבו סנאן,32.958,35.172,אבו סנאן
אבו קרינאת והפזורה,31.1031,34.952,אבו קרינאת והפזורה
אבו-גוש,31.8063,35.1092,אבו-גוש
אבו-תלול והפזורה,31.1907,34.9161,אבו-תלול והפזורה
אבטליון,32.8358,35.3504,אבטליון
אביאל,32.5313,34.9935,אביאל
אביבים,33.0894,35.4703,אביבים
אביגדור,31.7119,34.7404,אביגדור
אביחיל,32.3507,34.8712,אביחיל
אביעזר,31.682,35.0188,אביעזר
אבירים,33.0381,35.286,אבירים
אבן יהודה,32.2766,34.8851,אבן יהודה
אבן מנחם,33.0751,35.2952,אבן מנחם
אבן ספיר,31.7625,35.135,אבן ספיר
אבן שמואל,31.5764,34.763,אבן שמואל
אבני איתן,32.8248,35.7658,אבני איתן
אבני חפץ,32.2846,35.0746,אבני חפץ
אבנת,31.679,35.4369,אבנת
אבשלום,31.1954,34.3312,אבשלום
אדורה,31.5522,35.0176,אדורה
אדוריים,31.4827,35.0436,אדוריים
אדמית,33.0788,35.2095,אדמית
אדרת,31.6597,34.9944,אדרת
אודים,32.2669,34.847,אודים
אודם,33.1934,35.7496,אודם
בית ירח,32.7144,35.574,בית ירח
אום אל פחם,32.5171,35.1485,אום אל פחם
אום אל קוטוף,32.4681,35.0592,אום אל קוטוף
אום אל-גנם,32.6867,35.3903,אום אל-גנם
אום בטין והפזורה,31.2694,34.8811,אום בטין והפזורה
אופקים,31.3113,34.6228,אופקים
אור הגנוז,33.0052,35.4467,אור הגנוז
אור הנר,31.5562,34.6023,אור הנר
אור יהודה,32.0297,34.8562,אור יהודה
אור עקיבא,32.51,34.9204,אור עקיבא
אורה,31.7521,35.1502,אורה
אורון תעשייה ומסחר,30.9115,35.0177,אורון תעשייה ומסחר
אורות,31.74176,34.734758,אורות
אורטל,33.0862,35.7587,אורטל
אורים,31.3041,34.5249,אורים
אורנים,32.7112,35.1096,אורנים
אורנית,32.1319,34.9908,אורנית
אושה,32.7965,35.1146,אושה
אזור,32.0296,34.7996,אזור
אזור תעשייה אכזיב מילואות,33.0684,35.1102,אזור תעשייה אכזיב מילואות
אזור תעשייה אלון התבור,32.6345,35.3603,אזור תעשייה אלון התבור
אזור תעשייה אפק ולב הארץ,32.10799,34.953088,אזור תעשייה אפק ולב הארץ
אזור תעשייה באר טוביה,31.7249,34.751,אזור תעשייה באר טוביה
אזור תעשייה בני יהודה,32.8023,35.7156,אזור תעשייה בני יהודה
אזור תעשייה בר-לב,32.9063,35.1948,אזור תעשייה בר-לב
אזור תעשייה בראון,32.2488,35.1681,אזור תעשייה בראון
אזור תעשייה ברוש,31.7331,34.9594,אזור תעשייה ברוש
אזור תעשייה דימונה,31.0646,35.0188,אזור תעשייה דימונה
אזור תעשייה הדרומי אשקלון,31.6361,34.5545,אזור תעשייה הדרומי אשקלון
אזור תעשייה הר טוב - צרעה,31.7728,34.9981,אזור תעשייה הר טוב - צרעה
אזור תעשייה חבל מודיעין,32.0131,34.9595,אזור תעשייה חבל מודיעין
אזור תעשייה חצור הגלילית,32.9842,35.5521,אזור תעשייה חצור הגלילית
אזור תעשייה טירה,32.2267,34.9791,אזור תעשייה טירה
אזור תעשייה יקנעם עילית,32.6639,35.105,אזור תעשייה יקנעם עילית
אזור תעשייה כנות,31.8013,34.7591,אזור תעשייה כנות
אזור תעשייה כרמיאל,32.9263,35.3191,אזור תעשייה כרמיאל
אזור תעשייה מבוא כרמל,32.6207,35.078,אזור תעשייה מבוא כרמל
אזור תעשייה מבואות הגלבוע,32.5672,35.2676,אזור תעשייה מבואות הגלבוע
אזור תעשייה מישור אדומים,31.7925,35.335,אזור תעשייה מישור אדומים
אזור תעשייה מיתרים,31.3726,35.0055,אזור תעשייה מיתרים
אזור תעשייה נ.ע.מ,31.4138,34.6149,אזור תעשייה נ.ע.מ
אזור תעשייה ניר עציון,32.7019,34.973,אזור תעשייה ניר עציון
אזור תעשייה נשר - רמלה,31.9179,34.892,אזור תעשייה נשר - רמלה
אזור תעשייה עד הלום,31.7581,34.6559,אזור תעשייה עד הלום
אזור תעשייה עידן הנגב,31.3808,34.786,אזור תעשייה עידן הנגב
אזור תעשייה עמק חפר,32.4049,34.8967,אזור תעשייה עמק חפר
אזור תעשייה צ.ח.ר,32.9705521,35.5646455,אזור תעשייה צ.ח.ר
אזור תעשייה צבאים,32.5425,35.5031,אזור תעשייה צבאים
אזור תעשייה ציפורית,32.7595,35.3161,אזור תעשייה ציפורית
אזור תעשייה צמח,32.7033,35.5869,אזור תעשייה צמח
אזור תעשייה צפוני אשקלון,31.6647,34.5981,אזור תעשייה צפוני אשקלון
אזור תעשייה קדמת גליל,32.7854,35.4631,אזור תעשייה קדמת גליל
אזור תעשייה קיסריה,32.4865,34.9464,אזור תעשייה קיסריה
אזור תעשייה קריית גת,31.5962,34.7848,אזור תעשייה קריית גת
אזור תעשייה רגבים,32.5217,35.024,אזור תעשייה רגבים
אזור תעשייה רותם,31.06,35.1949,אזור תעשייה רותם
אזור תעשייה רמת דלתון,33.0279,35.4768,אזור תעשייה רמת דלתון
אזור תעשייה שחורת,29.5979,34.9719,אזור תעשייה שחורת
אזור תעשייה שער בנימין,31.8654,35.2617,אזור תעשייה שער בנימין
אזור תעשייה שער נעמן,32.8805,35.0976,אזור תעשייה שער נעמן
אזור תעשייה תימורים,31.7242,34.7615,אזור תעשייה תימורים
אזור תעשייה תרדיון,32.8677,35.2731,אזור תעשייה תרדיון
אחווה,31.7429,34.7678,אחווה
אחוזם,31.5527,34.7701,אחוזם
אחוזת ברק,32.6431,35.3389,אחוזת ברק
אחיה,32.0605,35.3273,אחיה
אחיהוד,32.9074,35.1717,אחיהוד
אחיטוב,32.3877,34.9908,אחיטוב
אחיסמך,31.9319,34.9086,אחיסמך
אחיעזר,31.9817,34.8718,אחיעזר
איבטין,32.76,35.1146,איבטין
אייל,32.211823,34.979862,אייל
איילת השחר,33.0211,35.5767,איילת השחר
אילון,33.0625,35.2192,אילון
אילות,29.5805,34.963,אילות
אילניה,32.7539,35.4082,אילניה
אילת,29.5577,34.9519,אילת
אירוס,31.9286,34.7766,אירוס
איתמר,32.1739,35.308,איתמר
איתן,31.5722,34.7479,איתן
