loc,lat,long,name,lng
'ביר הדאג,31.02316,34.709138,,
אבו סנאן,32.958,35.172,,
אבו קרינאת,31.103115,34.952003,,
אבו קרינאת והפזורה,31.1031,34.952,,
אבו תלול,31.142612,34.913514,,
אבו-גוש,31.8063,35.1092,,
אבו-תלול והפזורה,31.1907,34.9161,,
אבטליון,32.8358,35.3504,,
אביאל,32.5313,34.9935,,
אביבים,33.0894,35.4703,,
אביגדור,31.7119,34.7404,,
אביעזר,31.682,35.0188,,
אבירים,33.0381,35.286,,
אבן יהודה,32.2766,34.8851,,
אבן מנחם,33.0751,35.2952,,
אבן ספיר,31.7625,35.135,,
אבן שמואל,31.5764,34.763,,
אבני איתן,32.8248,35.7658,,
אבנת,31.679,35.4369,,
אבשלום,31.1954,34.3312,,
אדורה,31.5522,35.0176,,
אדוריים,31.4827,35.0436,,
אדמית,33.0788,35.2095,,
אדרת,31.6597,34.9944,,
אודים,32.2669,34.847,,
אודם,33.1934,35.7496,,
אוהד,31.238436,34.431893,,
אום אל פחם,32.5171,35.1485,,
אום אל קוטוף,32.4681,35.0592,,
אום אל-גנם,32.6867,35.3903,,
אום אל-פחם,32.517127,35.148529,,
אום בטין,31.2767437,34.8829215,,
אום בטין והפזורה,31.2694,34.8811,,
אופקים,31.3113,34.6228,,
אור הגנוז,33.0052,35.4467,,
אור הנר,31.5562,34.6023,,
אור יהודה,32.0297,34.8562,,
אור עקיבא,32.51,34.9204,,
אורה,31.7521,35.1502,,
אורון תעשייה ומסחר,30.9115,35.0177,,
אורות,31.74176,34.734758,,
אורטל,33.0862,35.7587,,
אורים,31.3041,34.5249,,
אורנים,32.7112,35.1096,,
אורנית,32.1319,34.9908,,
אושה,32.7965,35.1146,,
אזור,32.0296,34.7996,,
אזור תעשייה אכזיב מילואות,33.0684,35.1102,,
אזור תעשייה אלון התבור,32.6345,35.3603,,
אזור תעשייה אפק ולב הארץ,32.10799,34.953088,,
אזור תעשייה באר טוביה,31.7249,34.751,,
אזור תעשייה בני יהודה,32.8023,35.7156,,
אזור תעשייה בר-לב,32.9063,35.1948,,
אזור תעשייה ברוש,31.7331,34.9594,,
אזור תעשייה דימונה,31.0646,35.0188,,
אזור תעשייה הדרומי אשקלון,31.6361,34.5545,,
אזור תעשייה הר טוב - צרעה,31.7728,34.9981,,
